pharmacy_id,name,distance_km,price,stock,expiry_date,city,state,target_score
P038,Care Chemists,0.21,74,192,2025-12-25,Ahmedabad,Gujarat,0.6876
P039,MedPlus Pharmacy,2.31,79,129,2027-11-20,Mumbai,Maharashtra,0.708
P040,HealthPlus Drugstore,1.16,46,112,2027-08-17,Bangalore,Karnataka,0.8349
P041,Care Pharmacy,0.26,30,29,2026-10-20,Hyderabad,Telangana,0.8168
P042,Care Medicals,1.37,54,175,2027-05-30,Ahmedabad,Gujarat,0.806
P043,Care Pharmacy,0.07,36,108,2026-03-06,Bangalore,Karnataka,0.8515
P044,Life Medicals,4.8,94,41,2028-04-29,Bangalore,Karnataka,0.5241
P045,MedPlus Pharmacy,0.6,41,9,2026-10-05,Pune,Maharashtra,0.7507
P046,Wellness Pharmacy,2.17,55,10,2027-02-09,Chennai,Tamil Nadu,0.6692
P047,MedPlus Drugstore,0.75,104,104,2026-10-18,Chennai,Tamil Nadu,0.6767
P048,Wellness Medicals,1.47,57,45,2027-10-17,Pune,Maharashtra,0.7258
P049,HealthPlus Drugstore,1.58,50,179,2026-02-23,Ahmedabad,Gujarat,0.7627
P050,HealthPlus Medicals,0.41,74,78,2027-03-17,Chennai,Tamil Nadu,0.7457
P051,Apollo Medicals,6.99,66,71,2027-06-30,Kolkata,West Bengal,0.5848
P052,Med Drugstore,2.98,11,66,2027-06-02,Bangalore,Karnataka,0.8459
P053,MedPlus Chemists,5.61,72,80,2028-10-18,Mumbai,Maharashtra,0.6154
P054,Med Medicals,4.5,38,181,2028-11-04,Chennai,Tamil Nadu,0.7692
P055,Life Chemists,1.82,43,170,2027-09-09,Mumbai,Maharashtra,0.826
P056,Care Drugstore,5.1,103,83,2027-08-03,Delhi,Delhi,0.5423
P057,HealthPlus Chemists,0.19,120,97,2026-11-27,Hyderabad,Telangana,0.6412
P058,Med Pharmacy,0.44,52,53,2027-09-26,Ahmedabad,Gujarat,0.7779
P059,Pharma Chemists,0.09,48,121,2026-11-18,Mumbai,Maharashtra,0.8576
P060,Care Drugstore,0.79,42,192,2027-09-02,Chennai,Tamil Nadu,0.8564
P061,HealthPlus Medicals,0.98,10,62,2026-05-04,Ahmedabad,Gujarat,0.8965
P062,Med Medicals,0.63,69,102,2025-12-17,Mumbai,Maharashtra,0.6854
P063,Med Medicals,3.53,52,178,2026-03-18,Chennai,Tamil Nadu,0.7209
P064,MedPlus Chemists,0.88,47,118,2027-09-16,Ahmedabad,Gujarat,0.8395
P065,Med Chemists,0.66,48,121,2027-04-26,Hyderabad,Telangana,0.8424
P066,Pharma Medicals,1.56,54,19,2027-03-31,Hyderabad,Telangana,0.6997
P067,Life Drugstore,0.3,76,35,2028-01-29,Delhi,Delhi,0.6891
P068,HealthPlus Pharmacy,3.24,71,84,2028-04-05,Bangalore,Karnataka,0.6865
P069,HealthPlus Chemists,0.15,82,197,2026-01-15,Pune,Maharashtra,0.6804
P070,Pharma Pharmacy,8.67,59,192,2028-04-12,Chennai,Tamil Nadu,0.5967
P071,Pharma Medicals,2.96,52,0,2027-10-25,Pune,Maharashtra,0.6444
P072,Wellness Chemists,0.44,40,0,2028-02-20,Bangalore,Karnataka,0.7466
P073,MedPlus Chemists,0.01,49,118,2027-05-22,Pune,Maharashtra,0.8568
P074,Life Medicals,3.38,73,86,2028-01-21,Hyderabad,Telangana,0.6794
P075,Med Drugstore,2.45,30,4,2026-03-22,Kolkata,West Bengal,0.6966
P076,HealthPlus Pharmacy,2.61,89,0,2027-04-26,Chennai,Tamil Nadu,0.5458
P077,Apollo Medicals,2.95,39,121,2027-02-25,Ahmedabad,Gujarat,0.8076
P078,Care Drugstore,0.15,45,155,2026-07-28,Delhi,Delhi,0.8648
P079,Care Pharmacy,0.89,79,79,2028-01-13,Pune,Maharashtra,0.7196
P080,HealthPlus Pharmacy,0.25,102,160,2027-08-15,Mumbai,Maharashtra,0.6958
P081,Apollo Drugstore,3.98,86,169,2028-10-07,Kolkata,West Bengal,0.643
P082,Apollo Chemists,1.95,70,110,2028-07-04,Delhi,Delhi,0.7438
P083,Med Medicals,0.8,101,166,2028-08-22,Ahmedabad,Gujarat,0.6841
P084,Med Drugstore,0.13,73,62,2026-06-01,Hyderabad,Telangana,0.7361
P085,Pharma Medicals,0.74,82,156,2027-10-25,Bangalore,Karnataka,0.7411
P086,Pharma Drugstore,0.79,43,54,2027-05-19,Kolkata,West Bengal,0.796
P087,Care Drugstore,2.62,76,132,2026-05-30,Chennai,Tamil Nadu,0.7085
P088,Med Chemists,2.03,100,61,2028-09-06,Ahmedabad,Gujarat,0.6055
P089,Apollo Pharmacy,4.36,49,103,2027-08-25,Kolkata,West Bengal,0.7408
P090,Pharma Drugstore,1.28,82,140,2028-06-22,Hyderabad,Telangana,0.7267
P091,Care Drugstore,0.25,37,184,2026-08-07,Delhi,Delhi,0.8854
P092,HealthPlus Medicals,2.5,74,185,2027-07-08,Mumbai,Maharashtra,0.7175
P093,HealthPlus Drugstore,2.86,45,45,2026-08-22,Hyderabad,Telangana,0.7237
P094,Apollo Pharmacy,1.65,84,178,2028-09-06,Mumbai,Maharashtra,0.711
P095,Apollo Drugstore,2.95,80,112,2026-03-21,Hyderabad,Telangana,0.6568
P096,Pharma Pharmacy,1.36,25,0,2026-03-25,Delhi,Delhi,0.7373
P097,Wellness Drugstore,1.48,22,30,2028-04-06,Chennai,Tamil Nadu,0.8089
P098,Med Chemists,1.12,70,150,2027-08-23,Bangalore,Karnataka,0.766
P099,MedPlus Medicals,0.05,91,67,2026-10-23,Chennai,Tamil Nadu,0.692
P100,Wellness Pharmacy,0.23,25,104,2028-07-25,Hyderabad,Telangana,0.9209
P101,Apollo Medicals,0.06,63,72,2028-06-22,Mumbai,Maharashtra,0.7796
P102,HealthPlus Drugstore,2.02,103,169,2027-01-15,Pune,Maharashtra,0.6457
P103,MedPlus Medicals,0.75,91,68,2026-05-01,Bangalore,Karnataka,0.6718
P104,Wellness Drugstore,1.42,104,145,2028-05-23,Mumbai,Maharashtra,0.6588
P105,Pharma Drugstore,4.76,86,69,2028-09-12,Ahmedabad,Gujarat,0.5835
P106,MedPlus Pharmacy,0.57,83,82,2026-01-27,Mumbai,Maharashtra,0.6522
P107,HealthPlus Pharmacy,1.06,57,10,2026-11-29,Ahmedabad,Gujarat,0.693
P108,Pharma Drugstore,2.82,46,111,2028-09-08,Mumbai,Maharashtra,0.7906
P109,Pharma Drugstore,0.52,67,82,2026-10-31,Kolkata,West Bengal,0.7682
P110,Med Chemists,0.16,62,102,2026-02-19,Ahmedabad,Gujarat,0.7628
P111,MedPlus Drugstore,0.68,47,29,2028-03-12,Bangalore,Karnataka,0.756
P112,Pharma Chemists,0.35,17,132,2028-09-21,Ahmedabad,Gujarat,0.9411
P113,Apollo Medicals,5.31,56,33,2028-05-21,Ahmedabad,Gujarat,0.6113
P114,MedPlus Pharmacy,3.3,104,61,2027-09-03,Bangalore,Karnataka,0.5599
P115,Med Pharmacy,2.01,59,29,2026-08-03,Delhi,Delhi,0.6856
P116,Pharma Drugstore,4.1,92,69,2028-08-20,Ahmedabad,Gujarat,0.5836
P117,HealthPlus Chemists,3.26,79,98,2028-10-11,Delhi,Delhi,0.6802
P118,MedPlus Drugstore,0.41,68,129,2025-12-11,Hyderabad,Telangana,0.69
P119,Care Chemists,4.46,38,137,2027-10-17,Pune,Maharashtra,0.7702
P120,Pharma Drugstore,1.55,51,61,2027-03-29,Pune,Maharashtra,0.7612
P121,Apollo Drugstore,3.29,87,97,2026-10-13,Ahmedabad,Gujarat,0.6548
P122,Apollo Medicals,4.53,99,151,2026-06-29,Ahmedabad,Gujarat,0.5905
P123,MedPlus Chemists,0.77,29,36,2026-10-18,Mumbai,Maharashtra,0.8149
P124,Pharma Drugstore,0.23,67,177,2026-05-19,Kolkata,West Bengal,0.7984
P125,Med Drugstore,0.52,107,194,2026-02-17,Mumbai,Maharashtra,0.6206
P126,HealthPlus Drugstore,1.11,57,23,2026-06-25,Mumbai,Maharashtra,0.7079
P127,Pharma Medicals,3.41,71,0,2026-03-30,Hyderabad,Telangana,0.552
P128,Life Drugstore,3.94,64,62,2026-12-09,Delhi,Delhi,0.6608
P129,Wellness Pharmacy,0.01,110,97,2027-04-13,Ahmedabad,Gujarat,0.6752
P130,Wellness Medicals,1.43,84,65,2025-12-25,Ahmedabad,Gujarat,0.5821
P131,Care Medicals,1.08,28,88,2027-08-10,Pune,Maharashtra,0.8745
P132,Care Chemists,0.5,49,98,2026-07-12,Chennai,Tamil Nadu,0.8413
P133,Med Drugstore,0.26,87,179,2028-02-24,Hyderabad,Telangana,0.7393
P134,Apollo Pharmacy,0.82,105,127,2027-07-15,Chennai,Tamil Nadu,0.6719
P135,Life Medicals,5.73,92,158,2026-09-12,Mumbai,Maharashtra,0.5789
P136,Apollo Drugstore,0.78,62,148,2026-09-01,Mumbai,Maharashtra,0.7984
P137,Care Drugstore,1.46,63,51,2027-12-25,Hyderabad,Telangana,0.7161
P138,Wellness Drugstore,2.43,96,75,2027-10-30,Mumbai,Maharashtra,0.624
P139,Pharma Pharmacy,0.9,47,57,2028-02-27,Kolkata,West Bengal,0.7852
P140,MedPlus Chemists,7.14,14,137,2027-12-30,Hyderabad,Telangana,0.7688
P141,Med Drugstore,6.56,39,59,2027-10-08,Chennai,Tamil Nadu,0.6601
P142,MedPlus Chemists,0.58,63,104,2026-03-08,Bangalore,Karnataka,0.7605
P143,Care Chemists,1.38,22,60,2026-09-09,Pune,Maharashtra,0.849
P144,Pharma Drugstore,0.72,120,190,2028-04-12,Delhi,Delhi,0.6308
P145,Med Pharmacy,0.67,86,104,2027-07-01,Bangalore,Karnataka,0.7313
P146,Life Medicals,0.08,75,60,2026-06-27,Kolkata,West Bengal,0.7291
P147,Life Pharmacy,1.88,63,48,2028-06-24,Mumbai,Maharashtra,0.7011
P148,HealthPlus Pharmacy,1.4,36,85,2026-08-20,Chennai,Tamil Nadu,0.8389
P149,MedPlus Medicals,0.11,86,59,2026-10-04,Bangalore,Karnataka,0.695
P150,Care Medicals,0.65,38,64,2026-07-19,Bangalore,Karnataka,0.8268
P151,Wellness Pharmacy,4.78,75,60,2026-01-07,Delhi,Delhi,0.5218
P152,Care Pharmacy,0.55,44,107,2026-04-15,Ahmedabad,Gujarat,0.8431
P153,Pharma Drugstore,0.31,88,27,2027-03-04,Bangalore,Karnataka,0.6438
P154,Care Chemists,1.34,117,0,2028-08-12,Pune,Maharashtra,0.498
P155,Med Pharmacy,8.49,89,0,2026-05-20,Kolkata,West Bengal,0.389
P156,Wellness Pharmacy,0.55,29,159,2027-10-02,Pune,Maharashtra,0.9007
P157,Care Chemists,2.23,88,0,2026-07-28,Chennai,Tamil Nadu,0.5589
P158,Med Chemists,2.87,47,86,2028-03-01,Pune,Maharashtra,0.7689
P159,MedPlus Drugstore,0.54,69,170,2026-10-14,Ahmedabad,Gujarat,0.7843
P160,MedPlus Pharmacy,2.61,17,0,2028-01-08,Delhi,Delhi,0.7558
P161,Apollo Drugstore,0.92,93,105,2028-04-20,Bangalore,Karnataka,0.7042
P162,Care Drugstore,2.0,53,147,2026-10-18,Ahmedabad,Gujarat,0.7921
P163,HealthPlus Pharmacy,2.01,76,142,2027-06-29,Chennai,Tamil Nadu,0.7247
P164,Med Pharmacy,1.53,111,168,2027-06-06,Bangalore,Karnataka,0.6355
P165,Wellness Drugstore,0.19,73,86,2026-12-12,Delhi,Delhi,0.7645
P166,Med Pharmacy,3.61,46,162,2026-06-11,Chennai,Tamil Nadu,0.7696
P167,Med Chemists,0.77,73,40,2027-10-01,Mumbai,Maharashtra,0.6916
P168,Apollo Medicals,0.41,49,0,2026-05-22,Hyderabad,Telangana,0.7211
P169,Pharma Chemists,0.08,86,113,2027-02-20,Mumbai,Maharashtra,0.747
P170,Life Chemists,1.79,28,173,2028-08-28,Hyderabad,Telangana,0.8706
P171,Apollo Medicals,2.26,74,0,2027-08-15,Chennai,Tamil Nadu,0.5989
P172,Wellness Drugstore,0.03,52,0,2028-05-05,Delhi,Delhi,0.7225
P173,Wellness Chemists,1.44,95,58,2027-12-01,Mumbai,Maharashtra,0.632
P174,Med Pharmacy,0.51,60,117,2027-09-08,Pune,Maharashtra,0.8114
P175,Med Chemists,2.07,45,0,2027-10-02,Delhi,Delhi,0.6885
P176,Pharma Drugstore,0.38,29,27,2028-03-05,Mumbai,Maharashtra,0.814
P177,Med Drugstore,2.35,55,85,2026-05-11,Mumbai,Maharashtra,0.7582
P178,HealthPlus Drugstore,0.98,72,165,2027-04-03,Mumbai,Maharashtra,0.7639
P179,Wellness Drugstore,5.52,35,154,2026-05-09,Delhi,Delhi,0.7507
P180,Pharma Chemists,0.3,101,148,2027-09-28,Kolkata,West Bengal,0.6974
P181,Wellness Chemists,0.83,28,113,2027-06-21,Bangalore,Karnataka,0.8962
P182,Life Pharmacy,0.24,58,0,2027-12-31,Hyderabad,Telangana,0.6994
P183,MedPlus Pharmacy,5.17,102,129,2026-02-28,Ahmedabad,Gujarat,0.5188
P184,HealthPlus Drugstore,4.2,97,128,2026-04-11,Ahmedabad,Gujarat,0.5884
P185,MedPlus Drugstore,0.6,31,165,2027-04-27,Ahmedabad,Gujarat,0.8936
P186,Pharma Medicals,2.16,62,72,2027-10-29,Bangalore,Karnataka,0.7266
P187,Life Pharmacy,3.4,50,142,2027-07-10,Hyderabad,Telangana,0.7635
P188,Wellness Drugstore,1.62,33,169,2027-11-22,Hyderabad,Telangana,0.8605
P189,Med Medicals,1.51,103,21,2028-01-16,Kolkata,West Bengal,0.5606
P190,Wellness Pharmacy,0.55,108,108,2026-01-12,Kolkata,West Bengal,0.5919
P191,Care Medicals,0.2,42,196,2027-03-14,Delhi,Delhi,0.8722
P192,Wellness Pharmacy,4.55,69,25,2026-02-21,Kolkata,West Bengal,0.533
P193,Wellness Chemists,4.61,29,46,2026-11-10,Ahmedabad,Gujarat,0.725
P194,Apollo Chemists,2.01,72,184,2028-06-02,Hyderabad,Telangana,0.7364
P195,Pharma Medicals,0.83,80,79,2028-07-23,Chennai,Tamil Nadu,0.7183
P196,Life Chemists,0.86,88,72,2028-09-30,Pune,Maharashtra,0.6854
P197,Wellness Medicals,2.59,86,0,2028-08-16,Kolkata,West Bengal,0.5551
P198,MedPlus Pharmacy,4.55,43,195,2028-06-13,Delhi,Delhi,0.7532
P199,Med Pharmacy,4.36,59,115,2026-01-29,Pune,Maharashtra,0.645
P200,Apollo Chemists,3.03,80,60,2026-05-22,Kolkata,West Bengal,0.6359
P201,HealthPlus Pharmacy,2.05,74,25,2027-10-23,Delhi,Delhi,0.6358
P202,Wellness Pharmacy,0.18,70,120,2026-09-16,Ahmedabad,Gujarat,0.791
P203,Pharma Pharmacy,0.35,15,65,2026-10-08,Pune,Maharashtra,0.9032
P204,MedPlus Drugstore,4.58,44,0,2028-04-13,Ahmedabad,Gujarat,0.6245
P205,MedPlus Pharmacy,1.86,87,0,2028-10-26,Chennai,Tamil Nadu,0.5716
P206,Wellness Drugstore,0.02,59,157,2028-04-07,Delhi,Delhi,0.8274
P207,MedPlus Drugstore,0.21,43,134,2028-10-10,Bangalore,Karnataka,0.869
P208,Med Chemists,2.18,30,99,2027-05-09,Bangalore,Karnataka,0.8531
P209,Life Pharmacy,0.01,56,187,2026-07-06,Kolkata,West Bengal,0.8364
P210,Wellness Pharmacy,0.35,67,86,2026-11-29,Ahmedabad,Gujarat,0.7777
P211,Pharma Medicals,1.59,24,183,2028-06-30,Bangalore,Karnataka,0.8876
P212,Care Medicals,2.35,35,51,2027-09-13,Hyderabad,Telangana,0.774
P213,Med Chemists,2.11,38,192,2027-07-14,Kolkata,West Bengal,0.8329
P214,Apollo Drugstore,0.51,42,94,2028-03-04,Ahmedabad,Gujarat,0.8564
P215,Med Drugstore,2.49,43,177,2028-11-03,Hyderabad,Telangana,0.8082
P216,MedPlus Chemists,0.54,28,154,2026-12-10,Hyderabad,Telangana,0.9039
P217,Life Pharmacy,0.79,25,169,2028-06-06,Pune,Maharashtra,0.906
P218,Wellness Chemists,2.74,63,10,2027-11-28,Pune,Maharashtra,0.6307
P219,Care Pharmacy,2.1,35,163,2028-10-21,Delhi,Delhi,0.8419
P220,Apollo Medicals,3.78,103,200,2026-08-21,Mumbai,Maharashtra,0.5988
P221,HealthPlus Drugstore,2.14,63,0,2026-10-16,Ahmedabad,Gujarat,0.6342
P222,Life Drugstore,1.68,85,19,2027-12-27,Pune,Maharashtra,0.606
P223,Life Drugstore,0.2,66,0,2026-12-22,Ahmedabad,Gujarat,0.6772
P224,Med Pharmacy,0.92,62,66,2027-02-18,Hyderabad,Telangana,0.7521
P225,Pharma Medicals,0.62,24,18,2028-06-04,Mumbai,Maharashtra,0.811
P226,Life Drugstore,0.56,30,138,2027-08-12,Delhi,Delhi,0.8976
P227,Wellness Drugstore,7.22,77,31,2026-09-16,Chennai,Tamil Nadu,0.4966
P228,Pharma Pharmacy,1.0,68,146,2026-08-28,Mumbai,Maharashtra,0.775
P229,MedPlus Drugstore,4.45,77,184,2028-03-26,Pune,Maharashtra,0.6568
P230,MedPlus Medicals,1.99,65,18,2028-10-30,Kolkata,West Bengal,0.6548
P231,Wellness Medicals,3.17,34,128,2026-03-29,Mumbai,Maharashtra,0.7906
P232,Wellness Drugstore,1.4,31,82,2027-03-12,Kolkata,West Bengal,0.8498
P233,Care Pharmacy,1.72,43,162,2027-06-21,Delhi,Delhi,0.8287
P234,Care Pharmacy,1.36,89,43,2026-10-17,Delhi,Delhi,0.6329
P235,Life Pharmacy,0.43,10,11,2027-06-01,Chennai,Tamil Nadu,0.8481
P236,Med Pharmacy,2.56,96,160,2027-08-16,Ahmedabad,Gujarat,0.6517
P237,HealthPlus Chemists,0.66,57,18,2026-10-25,Ahmedabad,Gujarat,0.7137
P238,Med Chemists,0.05,70,87,2027-09-07,Kolkata,West Bengal,0.7782
P239,Life Chemists,2.07,45,94,2026-07-11,Kolkata,West Bengal,0.806
P240,HealthPlus Chemists,0.39,28,115,2026-06-22,Bangalore,Karnataka,0.9079
P241,Care Chemists,5.64,96,63,2026-10-29,Kolkata,West Bengal,0.5233
P242,Life Medicals,6.16,40,131,2027-08-29,Ahmedabad,Gujarat,0.7191
P243,Apollo Pharmacy,4.93,71,117,2027-02-19,Kolkata,West Bengal,0.6614
P244,Apollo Pharmacy,0.92,56,152,2028-07-26,Hyderabad,Telangana,0.8121
P245,Apollo Pharmacy,0.03,64,67,2028-03-10,Kolkata,West Bengal,0.7713
P246,Apollo Chemists,5.27,29,143,2027-07-20,Mumbai,Maharashtra,0.7749
P247,Med Chemists,1.12,83,159,2026-08-06,Delhi,Delhi,0.7281
P248,MedPlus Chemists,6.8,77,86,2027-12-24,Delhi,Delhi,0.5766
P249,HealthPlus Chemists,6.63,70,0,2027-10-19,Ahmedabad,Gujarat,0.494
P250,Pharma Medicals,3.83,110,131,2027-09-19,Delhi,Delhi,0.577
P251,Med Drugstore,0.7,90,129,2028-09-04,Hyderabad,Telangana,0.7188
P252,Pharma Pharmacy,0.97,62,172,2028-04-07,Hyderabad,Telangana,0.7933
P253,Apollo Chemists,3.81,68,167,2027-03-17,Bangalore,Karnataka,0.7001
P254,Pharma Medicals,0.76,92,184,2028-01-23,Delhi,Delhi,0.7114
P255,HealthPlus Pharmacy,0.37,108,179,2026-01-13,Ahmedabad,Gujarat,0.5974
P256,Life Chemists,1.63,37,176,2028-09-28,Ahmedabad,Gujarat,0.8486
P257,Apollo Medicals,5.5,77,143,2028-08-11,Pune,Maharashtra,0.6288
P258,Life Medicals,2.38,92,136,2027-12-01,Hyderabad,Telangana,0.6682
P259,Pharma Medicals,1.69,44,142,2027-08-07,Hyderabad,Telangana,0.8266
P260,HealthPlus Chemists,0.2,60,89,2027-06-19,Hyderabad,Telangana,0.8059
P261,MedPlus Chemists,1.91,81,88,2026-10-01,Hyderabad,Telangana,0.6978
P262,Apollo Drugstore,9.22,26,113,2028-08-13,Chennai,Tamil Nadu,0.6783
P263,HealthPlus Drugstore,0.3,98,69,2027-04-10,Chennai,Tamil Nadu,0.6674
P264,Apollo Medicals,1.46,93,13,2027-10-13,Ahmedabad,Gujarat,0.5811
P265,MedPlus Medicals,4.2,35,140,2026-10-25,Pune,Maharashtra,0.7859
P266,Pharma Chemists,2.7,94,193,2027-09-24,Hyderabad,Telangana,0.6538
P267,Apollo Pharmacy,2.39,106,59,2026-02-20,Delhi,Delhi,0.5245
P268,Med Medicals,2.42,35,101,2026-12-22,Hyderabad,Telangana,0.8334
P269,Apollo Pharmacy,0.89,61,154,2027-10-23,Hyderabad,Telangana,0.7984
P270,Pharma Chemists,0.7,49,129,2027-01-04,Mumbai,Maharashtra,0.8384
P271,Life Medicals,3.31,83,65,2026-01-03,Kolkata,West Bengal,0.5412
P272,Care Medicals,3.32,46,163,2028-04-29,Kolkata,West Bengal,0.7773
P273,MedPlus Chemists,4.04,93,47,2028-08-09,Kolkata,West Bengal,0.5548
P274,HealthPlus Pharmacy,4.89,50,60,2027-06-05,Kolkata,West Bengal,0.6738
P275,Care Pharmacy,1.43,58,92,2026-04-12,Mumbai,Maharashtra,0.7667
P276,Pharma Drugstore,1.39,37,175,2027-09-03,Mumbai,Maharashtra,0.855
P277,Care Drugstore,3.2,90,56,2028-08-11,Delhi,Delhi,0.5972
P278,Pharma Drugstore,2.1,80,140,2027-02-26,Chennai,Tamil Nadu,0.7107
P279,MedPlus Chemists,2.42,94,0,2026-07-23,Bangalore,Karnataka,0.5363
P280,HealthPlus Medicals,3.18,36,133,2027-01-30,Ahmedabad,Gujarat,0.8102
P281,MedPlus Chemists,4.41,26,33,2028-06-28,Bangalore,Karnataka,0.7228
P282,Pharma Drugstore,0.82,19,65,2027-02-25,Mumbai,Maharashtra,0.879
P283,Apollo Chemists,0.94,71,16,2026-04-08,Mumbai,Maharashtra,0.6441
P284,Pharma Pharmacy,0.2,54,46,2028-04-14,Kolkata,West Bengal,0.7697
P285,Med Chemists,1.73,65,20,2026-09-04,Kolkata,West Bengal,0.6643
P286,MedPlus Medicals,0.07,85,135,2027-03-07,Bangalore,Karnataka,0.7502
P287,Apollo Drugstore,1.25,85,184,2028-01-21,Chennai,Tamil Nadu,0.7188
P288,HealthPlus Chemists,1.56,53,70,2026-07-25,Bangalore,Karnataka,0.7663
P289,Med Pharmacy,0.68,41,17,2026-02-12,Ahmedabad,Gujarat,0.7016
P290,Apollo Medicals,1.79,22,112,2027-02-23,Bangalore,Karnataka,0.8881
P291,Wellness Drugstore,0.06,60,187,2027-09-23,Chennai,Tamil Nadu,0.8234
P292,Care Medicals,0.08,105,56,2027-06-22,Bangalore,Karnataka,0.6366
P293,Wellness Chemists,3.46,91,12,2028-01-25,Kolkata,West Bengal,0.5323
P294,Med Chemists,0.89,33,96,2028-08-01,Chennai,Tamil Nadu,0.875
P295,HealthPlus Drugstore,0.27,48,118,2028-03-30,Pune,Maharashtra,0.8528
P296,Wellness Chemists,1.48,44,52,2026-05-16,Ahmedabad,Gujarat,0.7722
P297,Life Pharmacy,2.94,96,0,2028-01-17,Bangalore,Karnataka,0.5166
P298,MedPlus Medicals,0.49,103,171,2028-08-13,Chennai,Tamil Nadu,0.6865
P299,Life Drugstore,1.95,12,48,2026-08-03,Ahmedabad,Gujarat,0.848
P300,HealthPlus Medicals,0.18,84,61,2027-07-08,Pune,Maharashtra,0.7014
P301,Pharma Drugstore,0.11,52,92,2028-09-19,Ahmedabad,Gujarat,0.8354
P302,MedPlus Chemists,1.52,74,52,2028-04-01,Bangalore,Karnataka,0.6836
P303,HealthPlus Medicals,1.56,15,141,2028-04-09,Hyderabad,Telangana,0.9146
P304,Wellness Medicals,2.03,54,97,2027-04-23,Ahmedabad,Gujarat,0.7846
P305,Life Drugstore,2.59,97,185,2028-09-05,Ahmedabad,Gujarat,0.648
P306,Wellness Drugstore,7.45,30,184,2026-12-17,Bangalore,Karnataka,0.7138
P307,Apollo Pharmacy,1.45,91,0,2026-09-13,Chennai,Tamil Nadu,0.5709
P308,MedPlus Medicals,0.78,12,129,2026-04-08,Ahmedabad,Gujarat,0.9254
P309,Pharma Pharmacy,3.17,22,141,2026-01-09,Hyderabad,Telangana,0.7707
P310,Care Pharmacy,0.63,95,178,2026-12-08,Mumbai,Maharashtra,0.7061
P311,MedPlus Medicals,1.16,41,158,2027-12-01,Hyderabad,Telangana,0.8495
